name,long,lat,address,nb_items,equipment,id,url,facilities,about
Arthur Faulkner Reserve,174.739904683405,-36.8971733147625,"33 Foch Avenue, Auckland",6,Activity panels Xylophone<br>Buzzy Bee rocker<br>Hip Hop seesaw<br>Module<br>Spinning Frame<br>Swings,10377,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=115,"Playground, tables",Local green open space.
Arthur S Richards Memorial Park,174.749121478706,-36.9030177508634,"43 Parau Street, Auckland",2,Module<br>Swing,20865,,,
Ascot Park,174.801651262182,-36.8859884907092,"61 Greenlane East Road, Auckland",3,Module<br>Seesaw<br>Swing,23100,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=125,Playground,"Small open space edged by trees and plants, and the corner of a busy area."
Avondale Central Reserve,174.696567946958,-36.8969466801376,"1951 Great North Road, Auckland",2,Modern Modular<br>Swing Double,10187,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=145,Playground,
Awaroa Park,174.645285873191,-36.8971341600305,"126 Awaroa Road, Auckland",3,Modern Modular<br>Playground Track<br>Swing Quad,11432,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10238,playground,Local Park - Leisure
Awhitu Hall,174.582050198086,-37.0958416090971,"15 Hamilton Road, Waiuku",1,Seesaw,10568,,,
Babich Reserve,174.603483439939,-36.8731953924472,"98 Babich Road North, Auckland",8,Modern Modular<br>Modern Modular<br>Spica<br>Spiral Net Climber<br>Springy Digger<br>Springy Dolphins<br>Springy Ladybird<br>Supernova<br>Swing Double<br>Swing Double,23367,,,
Baddeleys Beach Reserve,174.755760842048,-36.3810154968714,"1 Baddeleys Beach Road, Baddeleys Beach",2,Module-Small<br>Swing,22445,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10249,"playground, toilets",
Bannerman Reserve,174.732950802169,-36.8715504386348,"24 Mountain View Road, Auckland",3,Seesaw<br>Seesaw<br>Small module<br>Swing,20959,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=195,Playground,Local green open space.
Barron Green,174.678879841568,-36.9316156566069,"1 Barron Drive, Auckland",5,Junior module<br>Modern Modular Larg<br>Spinner<br>Springy Animal<br>Swing Quad,11455,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10269,"playground, toilets",Local Park - Leisure
Barrys Reserve,174.656846628338,-36.884386069616,"16 Barrys Road, Auckland",3,Modern Modular<br>Single Seesaw<br>Swing Double,22637,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10272,playground,Local Park - Leisure
Bath Street Reserve,174.805935081169,-36.8200746664091,"2 Bath Street, North Shore",3,Seesaw-Spring<br>Slide<br>Swing,20026,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10275,"playground, toilets",Local Park - Coastal
Bayside Drive,174.737695507984,-36.7240362092989,"7 Crestview Place, Auckland",6,Module-Small<br>Spinner bowl<br>Spinner<br>Swing<br>Swing hammock large rope<br>Swing-Hammock-small black,22074,,,
Bayswater Park,174.782255312746,-36.8127428270606,"131 Bayswater Avenue, Auckland",6,Fitness device<br>Body curl<br>Log jump<br>Fitness device<br>Fitness device<br>Step-up<br>Module-Medium<br>Swing,11141,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10282,"playground, toilets",Local Park - Sport
Belle Verde Reserve,174.741925078648,-36.7483119629673,"10 Belle Verde Drive, Auckland",2,Module-Medium-Jnr<br>Swing,20846,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10301,playground,Local Park - Leisure
Bellevue Reserve,174.752806616886,-36.8738512848997,"160 Dominion Road, Auckland",3,Module<br>Rotating Net<br>Swings,21015,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=240,"Playground, tables",Local green open space.
Bellgrove Reserve West,174.684164269455,-36.8942604862314,"15A Bellgrove Place, Auckland",3,Roundabout<br>Single Slide<br>Swing Double,21636,,,
Belmont Rose Gardens,174.790292311786,-36.8074317068854,"152 Lake Road, Auckland",2,Module-Medium<br>Swing,23311,,,
Bert Henham Park,174.841755063922,-36.9321891139382,"645 Mount Wellington Highway, Auckland",4,Module<br>Slide<br>Spinner<br>Swing,21705,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=245,"To the east of Mt Richmond are the McLennan Hills, small cones also in a larger explosion crater which produced much lava in flows towards both the Manukau Harbour and Tamaki River. These two volcanoes, together with Sturges Park at Otahuhu, form a dam separating the waters of the Waitemata and Manukau Harbours.",Mt Richmond is a recorded archaeological site. It is a 'castle and moat' volcano in which the scoria mount (castle) lies against one wall of the moat.
Berwyn Reserve,174.934420133035,-37.0343080924581,"50R Berwyn Avenue, Auckland",2,Modern Modular (Large)<br>Swing,21476,,,
Bill Moir Reserve,174.637529326458,-36.7796641527519,"64 Waimarie Road, Auckland",2,Module<br>Swing,22649,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10319,"playground, toilets",Local Park - Leisure
Bledisloe Park - Franklin,174.903335842428,-37.2052392413173,"86 Queen Street, Pukekohe",7,Logs<br>Modern Modular (Large)<br>Rocktopus<br>Roundabout - Sit On<br>Springy Animal<br>SKAT<br>Rail<br>Rail,10531,,,
Blockhouse Bay Beach Reserve,174.70057642544,-36.9303854876661,"69 Endeavour Street, Auckland",8,Eagle's Nest<br>Mulberry Bush<br>Ship Bow<br>Ship Stern<br>Slide Long<br>Springy Animal<br>Swing Double<br>Swing Double-Junior,10391,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=280,"Barbecue, tables, playground, boatramp, toilets.",Heritage sites with a lot of history (Maori/European). Seawall built about 80 years ago. Lovely reserve for a picnic.
Blockhouse Bay Recreation Res,174.70755070203,-36.9175190665066,"31 Terry Street, Auckland",19,Fitness Station Balance Beam<br>Fitness Station-Chin-Up Bars<br>Fitness Station-Climbing Wall<br>Fitness Station-Dip Crunch & Cycle<br>Fitness Station-Leg Press & Sit-up Bench<br>Fitness Station-Leg Stretch<br>Fitness Station-Monkey Bars<br>Fitness Station-Muscle Blaster<br>Fitness Station-Parallel Bars<br>Fitness Station-Pull Down Ex & Rec Cycle<br>Fitness Station-Push-Up Bars<br>Fitness Station-Steps<br>Fitness Station-Stretch & Air Walker<br>Fitness Station-Vertical Ladder<br>Junior Module<br>Pommel Swing<br>Senior Module<br>Swing Double<br>Swing Double<br>Swing Quad,10368,,,
Bluebird Reserve,174.70871313621,-36.7548560491036,"82 Bluebird Crescent, Auckland",2,Module-Medium-Jnr<br>Swing,22301,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10345,playground,Local Park - Leisure
Blueridge Reserve,174.637021139823,-36.8932440532653,"34 Blueridge Close, Auckland",4,Modern Modular<br>Spica<br>Springy Animal<br>Swing Double,21962,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10346,playground,Local Park - Leisure
Bluestone Park,174.839066159319,-36.8858481034592,"14 Styak Street, Auckland",9,Buzzy bee rocker<br>Car springy rocker<br>Climbing module<br>Dinosour rocker<br>Hags spiker<br>Module<br>Overhead spinner<br>Stepping stone logs<br>Swings,21190,,,
Boggust Park,174.814440217038,-36.9548564080034,"55R Lenore Road, Auckland",6,Basket swing<br>Balancing walk<br>Embankment slide<br>Jungle gym<br>Stepping logs<br>Stepping logs<br>Swing Set,21651,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10352,"playground, toilets",Local Park - Sport
Bond Reserve - Forrest Hill,174.745014673818,-36.7729253810758,"43 Bond Crescent, Forrest Hill",5,Module-Medium-Jnr<br>Module medium (senior)<br>Seesaw spinner<br>Seesaw-Spring<br>Swing,11064,,,
Bonnie Brae Reserve,174.821512329686,-36.8715815906149,"10 Bonnie Brae Road, Auckland",2,Module<br>Swing,23084,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=295,Playground,Local green open space.
Bourne Dean Recreation Reserve,174.551146243391,-36.4045018554151,"903 Kaipara Flats Road, Kaipara Flats",2,Module-Medium<br>Swing,11222,,,
Braemar Reserve,174.713378502262,-36.8816705471492,"192 Carrington Road, Auckland",3,Module<br>Springy seesaw<br>Swing T bar,21173,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=305,"Playground, table",Local green open space.
Brains Park,174.664055826157,-36.8959006576406,"31 Vanguard Road, Auckland",3,Modern Modular<br>Playground Track<br>Swing Double,11430,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10373,"playground, toilets",Premier Park - Sport
Bramley Drive Reserve,174.881481418576,-36.8916813341395,"94R Bramley Drive, Auckland",1,Swing,10754,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10374,"playground, toilets",Esplanade
Brandon Reserve - Manly,174.764978791218,-36.6331882353218,"15 Brandon Road, Auckland",2,Module-Medium-With Track Ride<br>Swing,20496,,,
Bridge Avenue Reserve,174.655260715922,-36.8606623539887,"Bridge Avenue, Auckland",2,Modern Modular<br>Swing Double,22639,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10380,"playground, toilets",Local Park - Leisure
Bronzewing Reserve,174.71444365436,-36.7614405164075,"7A Bronzewing Terrace, Auckland",8,Interactive play hut<br>Module-Junior small<br>rope walk<br>Snr climber with panels<br>spinner<br>Spinner pole small<br>springy skateboard<br>Basket Swing,22304,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10387,playground,Local Park - Leisure
Brown Reserve,174.745493561282,-36.8564948483995,"14 Brown Street, Auckland",1,Swings T bar,21400,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=310,Playground,Local green open space.
Browns Bay Beach Reserve,174.749476583629,-36.714042057646,"3 Manly Esplanade, Auckland",5,Module-Large<br>Spinner<br>Swing snr<br>Swing basket<br>Walkway Wobbly Walk Deck,11092,,,
Bruce Mclaren Memorial Park,174.620865671524,-36.8981369857348,"27 Farwood Drive, Auckland",4,Fitness Station<br>Modern Modular<br>Springy Animal<br>Swing Double,11431,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10399,playground,Local Park - Leisure
Brunton Park Reserve,174.69031206761,-36.5802515784597,"17A West Hoe Road, Orewa",2,Module-Small-Jnr<br>Swing,20413,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10402,playground,
Brydon Place Reserve,174.709318379304,-36.9001738971645,"16 Brydon Place, Auckland",7,Climbing Square<br>Hip Hop<br>Modern Modular<br>Spica<br>Stepping Logs<br>Supernova<br>Swing Quad,21649,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10404,playground,
Brydon Place Reserve,174.709318379304,-36.9001738971645,"16 Brydon Place, Auckland",7,Climbing Square<br>Hip Hop<br>Modern Modular<br>Spica<br>Stepping Logs<br>Supernova<br>Swing Quad,21649,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=320,Playground,Local green open space.
Brylee Drive Reserve,174.909909256335,-37.04358809378,"12R Brylee Drive, Auckland",3,Modern Modular (Small)<br>Swing<br>Roctopus,21819,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10405,playground,Local Park - Leisure
Buchanan Park,174.792664292865,-36.920770347244,"203A Arthur Street, Auckland",2,Module<br>Rocktopus,21481,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=325,Playground,Local green open space.
Buckingham Common,174.625850339583,-36.8204211746108,"Buisson Glade, Auckland",4,Fort/Slide<br>Modern Modular<br>Playground Track<br>Swing Triple,22507,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10407,playground,Local Park - Leisure
Buckley Road Reserve,174.764360206342,-36.907814765583,"52 Buckley Road, Auckland",5,Jungle Cube<br>Junior Rocker<br>Module<br>Roundabout spinner<br>Swings,10244,,,
Burswood Park,174.895806963353,-36.9216775388295,"170R Burswood Drive, Auckland",3,Modern Modular (Large)<br>Modern Modular (Small)<br>Swing,21791,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10420,playground,Local Park - Leisure
Burundi Ave Foreshore,174.857805561772,-37.0261308576812,"99R Finlayson Avenue, Auckland",4,Fitness device<br>Arms&abs<br>Arms&abs<br>Legs&abs<br>Legs&arms,21661,,,
Bushlands Park,174.711750667145,-36.7369576834358,"34 Bushlands Park Drive, Auckland",2,Module-Medium<br>Swing,22250,,,
Cadness Loop,174.74881745589,-36.798111214926,"96 Cadness Street, Auckland",4,Module-Large<br>Seesaw<br>Spacenet<br>Swing,22132,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10435,playground,Local Park - Leisure
Cadness Reserve,174.747374626426,-36.8003898199388,"6 Cadness Street, Auckland",5,Airwalker<br>Cross Trainer<br>Fitness dipper<br>Module-Small<br>Swing,22135,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10436,"playground, toilets",Local Park - Leisure
Cairnbrae Reserve,174.728998182865,-36.7067984667056,"24 Cairnbrae Court, Auckland",6,Module-Medium<br>Module<br>Slide<br>Springy bird<br>Swing basket<br>Swing,22098,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10437,playground,Local Park - Leisure
Camelot Reserve,174.725871673268,-36.7811499302529,"38 Camelot Place, Auckland",4,Seesaw<br>Slide<br>Swing<br>Swing snr,22256,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10445,playground,Local Park - Leisure
Campbells Beach Reserve,174.765103125355,-36.3829703431582,"4 Campbell Road, Auckland",2,Module-Large<br>Swing,22448,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10448,"playground, toilets",
Canal Reserve,174.689116900396,-36.8936236333671,",",1,Swing Double,10279,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10449,playground,
Cargill Reserve,174.96417209212,-37.0549004102637,"91R Cargill Street, Auckland",3,Modern Modular (Small)<br>Swing<br>Swing<br>Spinner,21715,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10457,playground,Local Park - Leisure
Carisbrook Reserve,174.966049428039,-37.0647829304733,"152 Dominion Road, Auckland",4,Modern Modular (Small)<br>Swing<br>Swing basket<br>Tube Slide and Tower,21723,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10459,playground,Local Park - Leisure
Castor Bay Beach Reserve,174.767882050991,-36.7596903243864,"3 The Esplanade, Castor Bay",1,Module-Medium,20052,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10473,playground,Local Park - Coastal
Celeste Reserve,174.73292261774,-36.7681524446191,"15 Celeste Place, Auckland",3,Seesaw-Spring<br>Slide<br>Swing,20815,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10479,playground,Local Park - Leisure
Celtic Crescent Reserve,174.822258454647,-36.8902271391607,"112 Celtic Crescent, Auckland",3,Large module<br>Spica<br>Swing T bar,23080,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=365,Playground,"This reserve has been developed as an adventure playground for children. The reserve performs a purely local function for casual, active and passive recreation, mainly for children. A number of native and exotic trees, and shrubs have been planted on this reserve."
Centennial Park,174.749716793279,-36.893277462228,"90A Marsden Avenue, Auckland",4,Module<br>Roundabout<br>Springy rocker<br>Swings,10178,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10483,playground,Esplanade
Centennial Park,174.749716793279,-36.893277462228,"90A Marsden Avenue, Auckland",4,Module<br>Roundabout<br>Springy rocker<br>Swings,10178,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=370,"Playground, tables, toilets.",Local green open space.
Centennial Park - Waiuku,174.732097397897,-37.2492081593826,"14 Kitchener Road, Auckland",3,Balancing bars<br>Modern modular (large)<br>Swing unit,10563,,,
Centorian Reserve,174.73836683409,-36.7427203420877,"2 Centorian Drive, Auckland",3,Slide<br>Swing<br>Turnstile,22194,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10484,playground,Local Park - Leisure
Ceramco Park,174.65038875628,-36.9200273001558,"Glendale Road, Auckland",4,Double Seesaw<br>Modern Modular<br>Playground Track<br>Swing Quad,11471,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10489,"playground, toilets","Children will enjoy open fields for ball games or kite flying, a playground, a skate park and gentle paths for bike riding. There is a short 15-minute walk along a beautifully planted streamside track to Kaurilands Domain."
Challen Reserve,174.913493637086,-37.0396903854058,"2R Challen Close, Auckland",5,Modern Modular (Large)<br>Slide<br>Swing<br>Swing<br>Small Roundabout<br>Springy thing,23074,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10490,playground,Local Park - Leisure
Chalmers Reserve,174.699143411509,-36.9008644699936,"22 Chalmers Street, Auckland",3,Modern Modular<br>Springer Double<br>Swing Double,21517,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=375,"Barbecue, tables, playground, boardwalk, pond",Local green open space.
Chatham Hill Reserve,174.800856257559,-36.6206833093672,"15 Cape Cod Drive, Auckland",3,Module-Medium-Medium<br>Seesaw-Springy<br>Swing,22606,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10499,playground,
Christmas Beach,174.659019187173,-36.7771427695296,"86 The Terrace, Auckland",3,Module-Medium-Boat<br>Spinner<br>Swing,22512,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10514,"BBQ,playground, toilets",A coastal reserve perfect for a quiet day in the sun or kayak in the harbour waters.
Church Hill Reserve,174.664477887616,-36.4013801352728,"3 Church Hill, Warkworth",2,Module-Large<br>Swing,22374,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10515,playground,
Clare Place Reserve,174.804960137159,-36.9531614336244,"2R Clare Place, Auckland",4,Basket swing set<br>Climbing poles<br>Double slide<br>Wobbly bridge,23186,,,
Clarence Reserve,174.656564218159,-36.9269093460538,"Chamari Close, Auckland",2,Modern Modular<br>Swing Double,22514,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10523,playground,Local Park - Leisure
Claris Playground,175.466670032336,-36.2432799323706,"80 Hector Sanderson Road, Great Barrier Island",6,Climbing module<br>Module<br>Module<br>Slide<br>Springy animal<br>Swing<br>Xylophone,10425,,,
Clarks Beach Boat Ramp,174.689063866553,-37.1403637048631,"Torkar Road, Auckland",2,Modern Modular (Small)<br>Swing,10529,,,
Clavoy Park,174.908120725829,-36.9470836288554,"5R Clavoy Place, Auckland",6,Swing Unit<br>Large modular<br>Roundabout<br>Slide<br>Spinning Cup<br>Spinning Cup<br>Swing unit,20907,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10533,playground,Local Park - Leisure
Clendon Community Centre Reserve,174.865939516101,-37.0336850013853,"17R Palmers Road, Auckland",1,Kompan Saturn (Rotating See Saw),10717,,,
Clevedon Scenic Reserve,175.036719468773,-36.9872673757913,"30R Thorps Quarry Road, Auckland",4,Rope Bridges<br>Balancing Beams<br>Monkey Bars<br>Swing Rope,10779,,,
Cliff Face Park,174.83951806491,-36.8889024187944,"25 Guard Crescent, Auckland",1,Rope swing,21194,,,
Clydesdale Park,174.931073174925,-36.9167283466253,"16R Leicester Parade, Auckland",4,Modern Modular (Large)<br>Soccer Goalpost Nets<br>Soccer Goalpost Nets<br>Spring Saw<br>Swing,20246,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10557,playground,Local Park - Leisure
Coletta Esplanade,174.637426636143,-36.8637304975563,"Central Park Drive, Waitakere",1,Fitness Station-Step & Reach & Chin Up,11426,,,
Colin Lawrie Fields,174.912414719586,-37.1936295593331,"Reynolds Road, Auckland",2,Modern Modular (Large)<br>Swing Unit,10532,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10568,playground,Local Park - Sport
Collins Park,174.6714526753,-36.7751600155685,"15 Greenhithe Road, Auckland",4,Egg Spinner<br>Hammock<br>Module-Large<br>Swing,10936,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10569,"playground, toilets",Local Park - Sport
Commissariat Reserve,174.828127971543,-36.9143878875386,"82B Commissariat Road, Auckland",3,Artificial turf mound<br>Lunar Spinner<br>Swings,23081,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=395,Playground,Local green open space.
Connemara Reserve,174.641445274605,-36.8035201045503,"Connemara Court, Auckland",2,Module-Small-Jnr<br>Swing,22524,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10576,playground,Premier Park - Leisure
Cooper - Lea Reserve,174.72846659988,-36.6195207284293,"17 Cooper Road, Auckland",1,Swing mega,22405,,,
Copley Reserve,174.669807123162,-36.9010376733461,"38 Copley Street, Auckland",3,Modern Modular<br>Single Slide<br>Swing Double,22525,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10584,playground,Local Park - Leisure
Corban Reserve,174.623296374461,-36.89321188587,"130-136 Henderson Valley Road, Auckland",6,Dog Agility Station-AFrame<br>Dog Agility Station-Bridge<br>Dog Agility Station-Hurdle<br>Dog Agility Station-Hurdle<br>Dog Agility Station-Jump Through Hurdle<br>Dog Agility Station-Tunnel<br>Dog Agility Station-Tunnel<br>Dog Agility Station-Weave Pole,11395,,,
Corran Reserve,174.602894003661,-36.862236592504,"Corran Place, Auckland",2,Modern Modular<br>Swing Double,22527,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10596,playground,Local Park - Leisure
Costley Reserve,174.7461321878,-36.8494120110617,"3 Costley Street, Auckland",4,Module<br>Seesaw<br>Spinner cup<br>Swing,21011,,,
Coxs Bay Reserve,174.725189241299,-36.852040514685,"44 West End Road, Auckland",6,Dome Climber<br>Fitness Station<br>Fitness Station<br>Fitness Station<br>Fitness Station<br>Fitness Station<br>Module - large<br>Module - small<br>Monkey bars<br>Swings,10265,,,
Coyle Park,174.704756060053,-36.8521421073104,"528 Point Chevalier Road, Auckland",12,Absail embankment<br>Activity Panel<br>Climbing rock<br>Flying Fox<br>Pyramid climbing net<br>Module<br>Module<br>Rope block activity<br>Roundabout<br>Slide<br>Springy skateboard<br>Springy skateboard<br>Swing T bar<br>Swing T bar<br>Train,10050,http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=425,"There is significant mature coastal vegetation along the cliff top. Defined, well-structured access paths lead from the park to Pt Chevalier beach, along with a number of informal access paths down the cliffside.","Coyle Park has an open environment covering nearly 5 hectares, fantastic harbour views and a coastal edge characterised by steep cliffs and rock shelf exposed at low tide."
